PLAN_ACTION: PlanID=1, Action=change_status, Success=YES, Error=Status changed to active, AdminID=1, Timestamp=2025-02-06 05:08:01
PLAN_ACTION: PlanID=2, Action=update, Success=YES, Error=, AdminID=1, Timestamp=2025-02-06 05:08:12
PLAN_ACTION: PlanID=2, Action=change_status, Success=YES, Error=Status changed to inactive, AdminID=1, Timestamp=2025-02-06 05:08:18
PLAN_ACTION: PlanID=2, Action=change_status, Success=YES, Error=Status changed to active, AdminID=1, Timestamp=2025-02-06 05:28:50
PLAN_ACTION: PlanID=2, Action=change_status, Success=YES, Error=Status changed to inactive, AdminID=1, Timestamp=2025-02-06 07:29:56
PLAN_ACTION: PlanID=2, Action=change_status, Success=YES, Error=Status changed to active, AdminID=1, Timestamp=2025-02-06 07:29:59
PLAN_ACTION: PlanID=1, Action=update, Success=YES, Error=, AdminID=1, Timestamp=2025-02-06 10:46:41
PLAN_ACTION: PlanID=3, Action=add, Success=YES, Error=, AdminID=1, Timestamp=2025-02-06 12:47:07
PLAN_ACTION: PlanID=4, Action=add, Success=YES, Error=, AdminID=1, Timestamp=2025-02-07 02:18:45
PLAN_ACTION: PlanID=3, Action=update, Success=YES, Error=, AdminID=1, Timestamp=2025-02-07 02:23:01
PLAN_ACTION: PlanID=4, Action=update, Success=YES, Error=, AdminID=1, Timestamp=2025-02-07 02:23:07
